"drinkId","drinkName","category","isAvailable","websiteEnabled","instoreEnabled","uberEnabled","snsEnabled","websitePriceOverride","instorePriceOverride","uberPriceOverride","snsPriceOverride","note"
"drink-01","濃厚黒ごまチーズタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-02","キャラメルタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-03","バニラタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-04","チョコミントタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-05","オレオタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-06","バナナタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-07","チョコタピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-08","抹茶タピオカフラッペ","frappe","true","true","true","false","false","","","","",""
"drink-09","濃厚黒ごまタピオカミルク","milk","true","true","true","false","false","","","","",""
"drink-10","濃厚ピーナッツタピオカミルク","milk","true","true","true","false","false","","","","",""
"drink-11","黒糖タピオカ練乳いちごミルク","milk","true","true","true","false","false","","","","",""
"drink-12","黒糖タピオカオレオミルク","milk","true","true","true","false","false","","","","",""
"drink-13","黒糖タピオカ塩キャラメルミルク","milk","true","true","true","false","false","","","","",""
"drink-14","黒糖タピオカチョコミルク","milk","true","true","true","false","false","","","","",""
"drink-15","黒糖タピオカミルク","milk","true","true","true","false","false","","","","",""
"drink-16","バナナ豆乳黒ごまスムージー","smoothie","true","true","true","false","false","","","","",""
"drink-17","八女抹茶バナナスムージー","smoothie","true","true","true","false","false","","","","",""
"drink-18","特製ミックスジューススムージー","smoothie","true","true","true","false","false","","","","",""
"drink-19","バナナヨーグルトスムージー","smoothie","true","true","true","false","false","","","","",""
"drink-20","濃厚マンゴーヨーグルトスムージー","smoothie","true","true","true","false","false","","","","",""
"drink-21","アッサム紅茶タピオカチーズティー","cheese-tea","true","true","true","false","false","","","","",""
"drink-22","ルイボスタピオカチーズティー","cheese-tea","true","true","true","false","false","","","","",""
"drink-23","ジャスミンタピオカチーズティー","cheese-tea","true","true","true","false","false","","","","",""
"drink-24","グリーンタピオカチーズティー","cheese-tea","true","true","true","false","false","","","","",""
"drink-25","黒糖タピオカほうじ茶ラテ","tea","true","true","true","false","false","","","","",""
"drink-26","黒糖タピオカ八女抹茶ラテ","tea","true","true","true","false","false","","","","",""
"drink-27","アッサム紅茶タピオカミルクティー","tea","true","true","true","false","false","","","","",""
"drink-28","ジャスミンタピオカミルクティー","tea","true","true","true","false","false","","","","",""
"drink-29","グリーンタピオカミルクティー","tea","true","true","true","false","false","","","","",""
"drink-30","ルイボスタピオカティー","tea","true","true","true","false","false","","","","",""
"drink-31","アッサム紅茶タピオカティー","tea","true","true","true","false","false","","","","",""
"drink-32","ジャスミンタピオカティー","tea","true","true","true","false","false","","","","",""
"drink-33","グリーンタピオカティー","tea","true","true","true","false","false","","","","",""
"drink-34","ピーチクリーミー杏仁","special","true","true","true","false","false","","","","",""
"drink-35","きなこ豆乳くろごま","special","true","true","true","false","false","","","","",""
"drink-36","ピーチ紅茶","special","true","true","true","false","false","","","","",""
"drink-37","蜂蜜柚子茶","special","true","true","true","false","false","","","","",""
"drink-38","蜂蜜柚子アッサム紅茶","special","true","true","true","false","false","","","","",""
"drink-39","蜂蜜柚子ジャスミン茶","special","true","true","true","false","false","","","","",""
"drink-40","蜂蜜柚子緑茶","special","true","true","true","false","false","","","","",""
"drink-41","タピオカカフェラテ","coffee","true","true","true","false","false","","","","",""
"drink-42","タピオカコーヒー","coffee","true","true","true","false","false","","","","",""
"drink-43","緑茶","tea-coffee","true","true","true","false","false","","","","",""
"drink-44","アッサム紅茶","tea-coffee","true","true","true","false","false","","","","",""
"drink-45","プアール茶","tea-coffee","true","true","true","false","false","","","","",""
"drink-46","ジャスミン茶","tea-coffee","true","true","true","false","false","","","","",""
"drink-47","ルイボス茶","tea-coffee","true","true","true","false","false","","","","",""
"drink-48","カフェアメリカーノ","tea-coffee","true","true","true","false","false","","","","",""
"drink-49","カフェラテ","tea-coffee","true","true","true","false","false","","","","",""
