"type","id","label","price","values"
"size","small","S スモール 360ml","-50",""
"size","regular","R レギュラー 500ml","0",""
"size","large","L ラージ 700ml","250",""
"option","none","なし","0",""
"option","premium","プレミアム版","300",""
"option","soy","豆乳変更","50",""
"option","decaf","デカフェ","50",""
"topping","extra-tapioca","タピオカ追加","150",""
"topping","extra-oreo","オレオ追加","150",""
"topping","extra-whip","ホイップ追加","150",""
"topping","choco-chip","チョコチップ追加","70",""
"topping","cheese-foam","チーズフォーム追加","300",""
"topping","no-tapioca","タピオカ抜き","-50",""
"topping","no-whip","ホイップ抜き","0",""
"sweetness","","","","ふつう,多め,少なめ,ゼロ"
"ice","","","","ふつう,氷少なめ,氷抜き"
"hotIce","","","","HOTは氷なし"
